ID,CC,PI,Logo (.png)
1,AL,5158,AL_5158_TIRANA
2,AL,92AA,AL_92AA_TOP
3,AT,A201,AT_A201_OE1
4,AT,A203,AT_A203_HITRADIO
5,AT,A213,AT_A213_FM4
6,AT,A3EE,AT_A3EE_88.6 NOE
7,AT,A3FF,AT_A3FF_KRONEHIT
8,AT,A448,AT_A3EE_88.6 NOE
9,AT,A502,AT_A502_RADIO_K
10,AT,A602,AT_A602_RADIO_N
11,AT,A707,AT_A707_OOE
12,AT,A802,AT_A802_RADIO S
13,AT,A902,AT_A902_RADIO_ST
14,AT,A943,AT_A943_ANTENNE
15,AT,AA0A,AT_AA0A_TIROL
16,AT,AA40,AT_AA40_LIFE
17,AT,AA54,AT_AA54_U1TIROL
18,AT,AB02,AT_AB02_RADIO_V
19,AT,AC47,AT_A3EE_88.6 NOE
20,BA,F001,BA_F001_BHRADIO1
21,BA,F01B,BA_F01B_RADIO_HB
22,BA,F038,BA_F038_RTV BN
23,BA,F042,BA_F042_RTRS_RRS
24,BA,F201,BA_F001_BHRADIO1
25,BA,F209,BA_F209_RADIO_F
26,BE,6217,BE_6217_F U N
27,BE,6300,BE_6300_MUST FM
28,BE,6314,BE_6333_CLUB FM
29,BE,6334,BE_6334_HIT FM
30,BE,6351,BE_6351_PREMIERE
31,BE,6370,BE_6370_BEL RTL
32,BE,6380,BE_6380_NOSTALGI
33,BE,6381,BE_6381_NRJ
34,BE,6395,BE_6395_FAMILY
35,BE,6482,BE_6482_DH RADIO
36,BE,6315,BE_6315_CONTACT
37,BE,6333,BE_6333_CLUB FM
38,BE,6352,BE_6352_VIVACITE
39,BE,63FF,BE_63FF_JOE fm
40,BE,6508,BE_6508_NOSTLGIE
41,BE,680000000,BE_6334_HIT FM
42,BG,8210,BG_8210_HORIZONT
43,BG,8220,BG_8220_HR.BOTEV
44,BG,824D,BG_824D_DARIK
45,BG,837E,BG_837E_N_JOY
46,BG,837F,BG_837F_FOCUS
47,CH,4330,CH_4330_TOP
48,CH,43A1,CH_43A1_RR_SRG
49,CH,43B1,CH_43B1_SRF 1
50,CH,43B2,CH_43B2_SRF 2
51,CH,43B3,CH_43B3_SRF 3
52,CH,43D1,CH_43D1_RTS_1ERE
53,CH,43D2,CH_43D2_ESPACE2
54,CH,43D3,CH_43D3_COULEUR3
55,CH,430,CH_43E1_RETE UNO
56,CH,4300,CH_43E2_RETE DUE
57,CH,43000,CH_43E3_RETE TRE
58,CH,4F04,CH_4F04_FM1
59,CH,4F25,CH_4F25_GRISCHA
60,CH,4F26,CH_4F26_CENTRAL
61,CY,2202,CY_2202_B_ PIK
62,CY,2203,CY_2203_AKOYTE
63,CY,2204,CY_2204_TETAPTO
64,CY,2215,CY_2215_A_ PIK
65,CY,2958,CY_2958_GREEK
66,CY,22D8,CY_22D8_PROTO
67,CZ,2037,CZ_2037_COUNTRY
68,CZ,2204,CZ_2204_EVROPA 2
69,CZ,2337,CZ_2037_COUNTRY
70,CZ,2444,CZ_2037_COUNTRY
71,CZ,2996,CZ_2996___CAS__
72,CZ,232D,CZ_232D_R_VLTAVA
73,CZ,232E,CZ_232E_R_DVOJKA
74,CZ,232F,CZ_232F_R_ZURNAL
75,CZ,233C,CZ_233C_BLANIK
76,CZ,2431,CZ_2431_BEAT
77,CZ,253C,CZ_233C_BLANIK
78,CZ,263C,CZ_233C_BLANIK
79,CZ,273C,CZ_233C_BLANIK
80,CZ,283C,CZ_233C_BLANIK
81,CZ,2A3C,CZ_233C_BLANIK
82,CZ,2B3C,CZ_233C_BLANIK
83,CZ,2C3C,CZ_233C_BLANIK
84,CZ,2D3C,CZ_233C_BLANIK
85,CZ,2F35,CZ_2F35_FAJN
86,DE,14C2,DE_14C2_R.SA
87,DE,D210,DE_D210_DLF
88,DE,D220,DE_D220_DKULTUR
89,DE,D301,DE_D301_SWR1 BW
90,DE,D311,DE_D311_BAYERN 1
91,DE,D312,DE_D312_BAYERN 2
92,DE,D313,DE_D313_BAYERN 3
93,DE,D314,DE_D314_BR_KLASS
94,DE,D315,DE_D315_B5 AKT
95,DE,D318,DE_D318_ANTENNE
96,DE,D382,DE_D382_NDR 2
97,DE,D383,DE_D383_NDR KULT
98,DE,D384,DE_D384_NDR INFO
99,DE,D385,DE_D385_N_JOY
101,DE,D3A2,DE_D3A2_SWR2
102,DE,D3A3,DE_D3A3_SWR3
103,DE,D3A9,DE_D3A9_BIG FM
104,DE,D3D5,DE_D3D5_MDR INFO
105,DE,D6A4,DE_DB04_SWR4
106,DE,D704,DE_DB04_SWR4
107,DE,D75B,DE_D75B_KLASSIK
108,DE,D7A4,DE_DB04_SWR4
109,DE,D804,DE_DB04_SWR4
110,DE,D8A4,DE_DB04_SWR4
111,DE,D904,DE_DB04_SWR4
112,DE,DA04,DE_DB04_SWR4
113,DE,DAA4,DE_DB04_SWR4
114,DE,DB04,DE_DB04_SWR4
115,DE,DC04,DE_DB04_SWR4
116,DE,DCA4,DE_DB04_SWR4
117,DE,DD04,DE_DB04_SWR4
118,DE,DE04,DE_DB04_SWR4
119,DK,9205,DK_9205_NOVA fm
120,DK,92F1,DK_92F1_skala fm
121,DK,9402,DK_9402_DRP4
122,DK,9502,DK_9402_DRP4
123,DK,9619,DK_9619_THEVOICE
124,DK,973F,DK_973F_radio100
125,DK,9CC5,DK_9CC5_Globus
126,DK,9DFA,DK_9DFA_VLR
127,DK,9FCF,DK_9FCF_ANR
128,EE,220,EE_22E1_VIKER
129,EE,22EE,EE_22EE_SKYPLUS
130,ES,5287,ES_E287_ESRADIO
131,ES,51CC,ES_E1CC_R. MARIA
